"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"243"	"Turkey2000s"	0.728	0.843	-4.802	0.101	0.0537	0	0.0924	0.919	87.017	278720
"244"	"Turkey2000s"	0.676	0.679	-7.457	0.0282	0.112	0	0.0716	0.632	92.982	229000
"245"	"Turkey2000s"	0.695	0.471	-6.21	0.0298	0.485	0	0.098	0.519	111.966	297430
"246"	"Turkey2000s"	0.703	0.868	-5.141	0.0702	0.408	0	0.193	0.772	90.943	230640
"247"	"Turkey2000s"	0.618	0.679	-7.234	0.0302	0.377	1.57e-05	0.0996	0.64	92.996	226320
"248"	"Turkey2000s"	0.55	0.772	-4.828	0.0389	0.153	0	0.0827	0.713	142.076	274106
"249"	"Turkey2000s"	0.685	0.763	-6.54	0.0839	0.00443	0.000164	0.217	0.418	90.01	260713
"250"	"Turkey2010s"	0.654	0.844	-5.311	0.078	0.44	6.47e-06	0.0791	0.663	125.049	260413
"251"	"Turkey2010s"	0.492	0.866	-5.101	0.0342	0.000449	0.00648	0.178	0.632	131.309	277328
"252"	"Turkey2010s"	0.63	0.868	-5.275	0.0286	0.0307	2.95e-06	0.246	0.568	135	236040
"253"	"Turkey2010s"	0.713	0.851	-5.341	0.0899	0.0333	0	0.275	0.701	129.95	219594
